"user","node","ts","ds","model","acc","auc","cor","str","user.1","elapsed"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","FRABBI-PC",2015-10-25 18:31:22,"weather","rpart",0.8182,0.7872,NA,NA,0.44,0.45
"","FRABBI-PC",2015-10-25 18:31:22,"weather","rpart",0.8182,0.686,NA,NA,0.03,0.03
"","FRABBI-PC",2015-10-25 18:31:22,"weather","rpart",0.8273,0.7916,NA,NA,0.02,0.02
"","FRABBI-PC",2015-10-25 18:31:22,"weather","rpart",0.7818,0.6259,NA,NA,0.03,0.03
"","FRABBI-PC",2015-10-25 18:31:22,"weather","rpart",0.8364,0.667,NA,NA,0.02,0.01
"","FRABBI-PC",2015-10-25 18:31:22,"weather","rpart",0.8182,0.7493,NA,NA,0.09,0.09
"","FRABBI-PC",2015-10-25 18:31:22,"weather","rpart",0.8091,0.7366,NA,NA,0.02,0.02
"","FRABBI-PC",2015-10-25 18:31:22,"weather","rpart",0.8273,0.8661,NA,NA,0.01,0.02
"","FRABBI-PC",2015-10-25 18:31:22,"weather","rpart",0.8091,0.6295,NA,NA,0.01,0.01
"","FRABBI-PC",2015-10-25 18:31:22,"weather","rpart",0.8,0.7008,NA,NA,0.01,0.01
"","FRABBI-PC",2015-10-25 18:31:22,"weather","randomForest",0.8182,0.9178,NA,NA,0.24,0.25
"","FRABBI-PC",2015-10-25 18:31:23,"weather","randomForest",0.8273,0.9467,NA,NA,0.22,0.22
"","FRABBI-PC",2015-10-25 18:31:23,"weather","randomForest",0.7909,0.9151,NA,NA,0.22,0.22
"","FRABBI-PC",2015-10-25 18:31:23,"weather","randomForest",0.7182,0.8185,NA,NA,0.14,0.14
"","FRABBI-PC",2015-10-25 18:31:23,"weather","randomForest",0.7273,0.8459,NA,NA,0.18,0.2
"","FRABBI-PC",2015-10-25 18:31:23,"weather","randomForest",0.7364,0.7852,NA,NA,0.1,0.14
"","FRABBI-PC",2015-10-25 18:31:24,"weather","randomForest",0.7636,0.7872,NA,NA,0.17,0.21
"","FRABBI-PC",2015-10-25 18:31:24,"weather","randomForest",0.7818,0.6732,NA,NA,0.14,0.14
"","FRABBI-PC",2015-10-25 18:31:24,"weather","randomForest",0.7727,0.8629,NA,NA,0.2,0.22
"","FRABBI-PC",2015-10-25 18:31:24,"weather","randomForest",0.7818,0.8135,NA,NA,0.14,0.14
"","FRABBI-PC",2015-10-25 18:31:25,"weather","ada",0.8364,0.8165,NA,NA,0.94,1
"","FRABBI-PC",2015-10-25 18:31:26,"weather","ada",0.8727,0.8095,NA,NA,0.92,0.92
"","FRABBI-PC",2015-10-25 18:31:27,"weather","ada",0.8545,0.7898,NA,NA,0.94,0.94
"","FRABBI-PC",2015-10-25 18:31:28,"weather","ada",0.8636,0.8034,NA,NA,0.92,0.94
"","FRABBI-PC",2015-10-25 18:31:29,"weather","ada",0.8727,0.8336,NA,NA,0.94,0.94
"","FRABBI-PC",2015-10-25 18:31:30,"weather","ada",0.8455,0.8134,NA,NA,1.01,1.01
"","FRABBI-PC",2015-10-25 18:31:31,"weather","ada",0.8273,0.8294,NA,NA,0.92,0.92
"","FRABBI-PC",2015-10-25 18:31:32,"weather","ada",0.7909,0.834,NA,NA,0.93,0.93
"","FRABBI-PC",2015-10-25 18:31:33,"weather","ada",0.8,0.8544,NA,NA,0.98,0.98
"","FRABBI-PC",2015-10-25 18:31:34,"weather","ada",0.8182,0.8285,NA,NA,1.02,1.05
"","FRABBI-PC",2015-10-25 18:31:34,"weather","ctree",0.8,0.7578,NA,NA,0.09,0.19
"","FRABBI-PC",2015-10-25 18:31:34,"weather","ctree",0.7727,0.7209,NA,NA,0.06,0.07
"","FRABBI-PC",2015-10-25 18:31:34,"weather","ctree",0.8727,0.8253,NA,NA,0.06,0.07
"","FRABBI-PC",2015-10-25 18:31:34,"weather","ctree",0.8364,0.7122,NA,NA,0.05,0.04
"","FRABBI-PC",2015-10-25 18:31:34,"weather","ctree",0.8273,0.7811,NA,NA,0.04,0.05
"","FRABBI-PC",2015-10-25 18:31:34,"weather","ctree",0.8727,0.7487,NA,NA,0.07,0.06
"","FRABBI-PC",2015-10-25 18:31:34,"weather","ctree",0.7727,0.7061,NA,NA,0.06,0.06
"","FRABBI-PC",2015-10-25 18:31:34,"weather","ctree",0.8364,0.7986,NA,NA,0.06,0.06
"","FRABBI-PC",2015-10-25 18:31:34,"weather","ctree",0.8273,0.7322,NA,NA,0.05,0.05
"","FRABBI-PC",2015-10-25 18:31:34,"weather","ctree",0.8455,0.7494,NA,NA,0.04,0.05
